Country,region,Image URL,Year,Number
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1991,263
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1992,264
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1993,264
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1994,264
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1995,265
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1996,265
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1997,266
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1998,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1999,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2000,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2001,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2002,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2003,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2004,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2005,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2006,267
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2007,266
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2008,265
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2009,265
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2010,264
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2011,264
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2012,263
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2013,262
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2014,262
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2015,261
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2016,260
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2017,260
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2018,265
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2019,271
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1991,53
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1992,53
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1993,53
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1994,53
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1995,52
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1996,52
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1997,52
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1998,52
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1999,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2000,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2001,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2002,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2003,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2004,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2005,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2006,51
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2007,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2008,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2009,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2010,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2011,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2012,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2013,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2014,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2015,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2016,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2017,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2018,50
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2019,50
China,Asia,https://www.countryflags.io/cn/flat/64.png,1991,1953
China,Asia,https://www.countryflags.io/cn/flat/64.png,1992,1947
China,Asia,https://www.countryflags.io/cn/flat/64.png,1993,1939
China,Asia,https://www.countryflags.io/cn/flat/64.png,1994,1932
China,Asia,https://www.countryflags.io/cn/flat/64.png,1995,1924
China,Asia,https://www.countryflags.io/cn/flat/64.png,1996,1916
China,Asia,https://www.countryflags.io/cn/flat/64.png,1997,1909
China,Asia,https://www.countryflags.io/cn/flat/64.png,1998,1901
China,Asia,https://www.countryflags.io/cn/flat/64.png,1999,1892
China,Asia,https://www.countryflags.io/cn/flat/64.png,2000,1882
China,Asia,https://www.countryflags.io/cn/flat/64.png,2001,1871
China,Asia,https://www.countryflags.io/cn/flat/64.png,2002,1860
China,Asia,https://www.countryflags.io/cn/flat/64.png,2003,1848
China,Asia,https://www.countryflags.io/cn/flat/64.png,2004,1836
China,Asia,https://www.countryflags.io/cn/flat/64.png,2005,1824
China,Asia,https://www.countryflags.io/cn/flat/64.png,2006,1812
China,Asia,https://www.countryflags.io/cn/flat/64.png,2007,1799
